CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4;Caixa;1;166;0;3;163
279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4;Caixa;2;168;0;0;168
371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BANDEJA C/4;Caixa;1;18;0;0;18
371;MALZBIER BRAHMA LONG NECK 355ML SIX-PACK BANDEJA C/4;Caixa;2;112;0;12;100
503;SUKITA PET 2L CAIXA C/6;Caixa;2;175;0;0;175
503;SUKITA PET 2L CAIXA C/6;Caixa;1;12;0;8;4
504;PEPSI COLA PET 2L CAIXA C/6;Caixa;2;1103;0;849;254
504;PEPSI COLA PET 2L CAIXA C/6;Caixa;1;275;0;32;243
772;PEPSI COLA MIX BAG IN BOX 18L;Litro;1;540;0;180;360
982;SKOL 600ML;Duzia;1;761;0;4;757
988;BRAHMA CHOPP 600ML;Duzia;1;518;0;279;239
988;BRAHMA CHOPP 600ML;Duzia;2;3;0;0;3
1166;SUKITA UVA PET 2L CAIXA C/6;Caixa;1;2;0;2;0
1166;SUKITA UVA PET 2L CAIXA C/6;Caixa;2;15;0;0;15
1388;SKOL GFA VD 1L 2,99;Duzia;1;30;0;0;30
1493;ANTARCTICA PILSEN LATA 350ML SH C/18 NPAL PACK PRICE;Caixa;1;1;0;0;1
1695;BRAHMA CHOPP GFA VD 1L COM TTC;Duzia;1;1457;0;165;1292
1695;BRAHMA CHOPP GFA VD 1L COM TTC;Duzia;2;29;0;0;29
1699;STELLA ARTOIS LT 269ML CX C/8 FRIDGE PACK;Caixa;1;22;0;16;6
1699;STELLA ARTOIS LT 269ML CX C/8 FRIDGE PACK;Caixa;2;121;0;60;61
1743;ANTARCTICA PILSEN GFA VD 1L COM TTC;Duzia;2;48;0;20;28
1743;ANTARCTICA PILSEN GFA VD 1L COM TTC;Duzia;1;3330;0;109;3221
1745;SKOL LT 269ML SH C15 NPAL;Caixa;2;35056;0;133;34923
1745;SKOL LT 269ML SH C15 NPAL;Caixa;1;6519;0;36;6483
1898;BRAHMA CHOPP LT 269ML SH C15 NPAL;Caixa;2;68915;0;1826;67089
1898;BRAHMA CHOPP LT 269ML SH C15 NPAL;Caixa;1;65456;0;507;64949
2132;GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO;Caixa;2;345;0;0;345
2132;GUARANA CHP ANTARCTICA PET 1L CAIXA C/6 NOVA RIO;Caixa;1;531;0;23;508
2243;GUARANA CHP ANTARCTICA MIX BAG IN BOX 18L;Litro;1;90;0;72;18
